 15b
 152
 140
 15b
 15b
 16d
 125
 113
 102
 14a
 163
 152
 14a
 12e
 140
 12e
 113
 10b
 11d
 125
 136
 140
 152
 15b
 16d
 186
 19a
 19a
 1a2
 1ab
 190
 17e
 16d
 15b
 15b
 14a
 140
 136
 11d
 10b
 11d
 12e
 136
 140
